sentence	label
nothing happens , and it happens to flat characters .	0
as lively an account as seinfeld is deadpan .	0
so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat .	0
the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times	0
ultimately , sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .	0
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .	0
this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .	0
just because a walk to remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls .	0
often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ?	0
this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .	0
but it would be better to wait for the video .	0
a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children 's television .	0
just a collection of this and that -- whatever fills time -- with no unified whole .	0
although god is great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film .	0
the chocolate factory without charlie .	0
in that setting , their struggle is simply too ludicrous and borderline insulting .	0
(ramsay) visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor .	1
the film jolts the laughs from the audience -- as if by cattle prod .	1
the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .	1
a film that will enthrall the whole family .	1
serious movie-goers embarking upon this journey will find that the road to perdition leads to a satisfying destination .	1
sweet and memorable film .	1
shyamalan takes a potentially trite and overused concept (aliens come to earth) and infuses it into a rustic , realistic , and altogether creepy tale of hidden invasion .	1
a crisp psychological drama (and) a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode .	1
my big fat greek wedding is not only the best date movie of the year , it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss .	1
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	1
diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film .	1
you 're not merely watching history , you 're engulfed by it .	1
the concept is a hoot .	1
the filmmakers ' eye for detail and the high standards of performance convey a strong sense of the girls ' environment .	1
a haunting tale of murder and mayhem .	1
neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present .	1
the script is smart and dark - hallelujah for small favors .	1
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .	1
some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	1
as a kind of colorful , dramatized pbs program , frida gets the job done .	1
just like a splendid meal , red dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation .	1
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .	1
a pleasing , often-funny comedy .	1
the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .	1
irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .	1
yet the act is still charming here .	1
with this masterful , flawless film , (wang) emerges in the front ranks of china 's now numerous , world-renowned filmmakers .	1
it 's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought .	1
the best animated feature to hit theaters since beauty and the beast 11 years ago .	1
a rich tale of our times , very well told with an appropriate minimum of means .	1
to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest .	1
a burst of color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at .	1
some fine acting , but ultimately a movie with no reason for being .	0
a straight-ahead thriller that never rises above superficiality .	0
the film is grossly contradictory in conveying its social message , if indeed there is one .	0
the feature-length stretch ... strains the show 's concept .	0
a complete waste of time .	0
no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest ` tron ' anderson , seems entirely improvised .	0
... really horrible drek .	0
suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .	0
you 'll just have your head in your hands wondering why lee 's character did n't just go to a bank manager and save everyone the misery .	0
adam sandler 's heart may be in the right place , but he needs to pull his head out of his butt	0
sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	0
ear-splitting exercise in formula crash-and-bash action .	0
a prison comedy that never really busts out of its comfy little cell .	0
a half-assed film .	0
is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ?	0
a grating , emaciated flick .	0
the satire is unfocused , while the story goes nowhere .	0
(lin chung 's) voice is rather unexceptional , even irritating (at least to this western ear) , making it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters .	0
with a tone as variable as the cinematography , schaeffer 's film never settles into the light-footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm .	0
the re - enactments , however fascinating they may be as history , are too crude to serve the work especially well .	0
as a remake , it 's a pale imitation .	0
if you are willing to do this , then you so crazy !	0
chai 's structure and pacing are disconcertingly slack .	0
otherwise , this could be a passable date film .	0
normally , rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable .	0
translation : ` we do n't need to try very hard . '	0
... really horrible drek .	0
while the transgressive trappings (especially the frank sex scenes) ensure that the film is never dull , rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative .	0
the trashy teen-sleaze equivalent of showgirls .	0
if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign .	0
the ethos of the chelsea hotel may shape hawke 's artistic aspirations , but he has n't yet coordinated his own dv poetry with the beat he hears in his soul .	0
... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .	0
poignant and funny .	1
a three-hour cinema master class .	1
bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .	1
hatfield and hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .	1
(caine) proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .	1
hugely accomplished slice of hitchcockian suspense .	1
a polished and vastly entertaining caper film that puts the sting back into the con .	1
meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .	1
a chilly , brooding but quietly resonant psychological study of domestic tension and unhappiness .	1
bluto blutarsky , we miss you .	1
... one of the more influential works of the ` korean new wave ' .	1
thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began .	1
broomfield reminds us that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed .	1
winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .	1
when you 've got the wildly popular vin diesel in the equation , it adds up to big box office bucks all but guaranteed .	1
bring tissues .	1
too silly to take seriously .	0
i do n't blame eddie murphy but should n't owen wilson know a movie must have a story and a script ?	0
follows the original film virtually scene for scene and yet manages to bleed it almost completely dry of humor , verve and fun .	0
some body smacks of exhibitionism more than it does cathartic truth telling .	0
the densest distillation of roberts ' movies ever made .	0
although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful .	0
offers absolutely nothing i had n't already seen .	0
this u-boat does n't have a captain .	0
collapses under its own meager weight .	0
one hour photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin .	0
one can only assume that the jury who bestowed star hoffman 's brother gordy with the waldo salt screenwriting award at 2002 's sundance festival were honoring an attempt to do something different over actually pulling it off	0
as violent , profane and exploitative as the most offensive action flick you 've ever seen .	0
kung pow seems like some futile concoction that was developed hastily after oedekerk and his fellow moviemakers got through crashing a college keg party .	0
collapses after 30 minutes into a slap-happy series of adolescent violence .	0
the movie is as padded as allen 's jelly belly .	0
it 's the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name .	0
real women have curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by ferrera and ontiveros .	1
a mature , deeply felt fantasy of a director 's travel through 300 years of russian history .	1
leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .	1
a true pleasure .	1
a metaphor for a modern-day urban china searching for its identity .	1
it 's a great american adventure and a wonderful film to bring to imax .	1
by the end of it all i sort of loved the people onscreen , even though i could not stand them .	1
compellingly watchable .	1
jae-eun jeong 's take care of my cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema .	1
definitely in the guilty pleasure b-movie category , reign of fire is so incredibly inane that it is laughingly enjoyable .	1
lee 's achievement extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability .	1
(city) reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' (1999) and ` analyze that , ' promised (or threatened) for later this year .	1
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .	1
one of the most exciting action films to come out of china in recent years .	1
the film is one of the year 's best .	1
this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .	1
